ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	194.812	P	0.000169227
AFFX-BioB-M_at	282.46	P	4.42873e-05
AFFX-BioB-3_at	200.109	P	0.00010954
AFFX-BioC-5_at	603.246	P	5.16732e-05
AFFX-BioC-3_at	750.592	P	4.42246e-05
AFFX-BioDn-5_at	1299.81	P	4.42873e-05
AFFX-BioDn-3_at	2455.4	P	6.02111e-05
AFFX-CreX-5_at	6461.21	P	5.16732e-05
AFFX-CreX-3_at	7819.33	P	4.42873e-05
AFFX-DapX-5_at	237.075	P	4.42873e-05
AFFX-DapX-M_at	764.558	P	0.000195116
AFFX-DapX-3_at	1022.93	P	4.42873e-05
AFFX-LysX-5_at	31.9449	P	8.14279e-05
AFFX-LysX-M_at	49.2788	P	0.00762003
AFFX-LysX-3_at	76.7179	P	4.42873e-05
AFFX-PheX-5_at	20.7483	P	0.00556451
AFFX-PheX-M_at	53.0918	P	0.000195116
AFFX-PheX-3_at	89.2683	P	0.000169227
AFFX-ThrX-5_at	82.4449	P	0.000146581
AFFX-ThrX-M_at	140.844	P	4.42873e-05
AFFX-ThrX-3_at	269.291	P	4.42873e-05
AFFX-TrpnX-5_at	8.48627	A	0.5
AFFX-TrpnX-M_at	2.68764	A	0.804734
AFFX-TrpnX-3_at	6.96368	A	0.425962
AFFX-r2-Ec-bioB-5_at	249.698	P	0.000244141
AFFX-r2-Ec-bioB-M_at	311.391	P	0.000244141
AFFX-r2-Ec-bioB-3_at	264.98	P	0.000244141
AFFX-r2-Ec-bioC-5_at	712.442	P	0.000244141
AFFX-r2-Ec-bioC-3_at	849.744	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2757.4	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3319.74	P	0.000244141
AFFX-r2-P1-cre-5_at	7892.34	P	0.000244141
AFFX-r2-P1-cre-3_at	11240.5	P	0.000244141
AFFX-r2-Bs-dap-5_at	366.051	P	0.000244141
AFFX-r2-Bs-dap-M_at	852.344	P	0.000244141
AFFX-r2-Bs-dap-3_at	1082.36	P	0.000244141
AFFX-r2-Bs-lys-5_at	35.1037	P	0.000732422
AFFX-r2-Bs-lys-M_at	57.5313	P	0.000244141
AFFX-r2-Bs-lys-3_at	51.4664	P	0.0012207
AFFX-r2-Bs-phe-5_at	62.3734	P	0.00195313
AFFX-r2-Bs-phe-M_at	73.2054	P	0.000732422
AFFX-r2-Bs-phe-3_at	133.731	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	481.75	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	232.173	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	165.114	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	94.5888	P	0.000662269
AFFX-HUMISGF3A/M97935_MA_at	504.308	P	7.00668e-05
AFFX-HUMISGF3A/M97935_MB_at	343.766	P	4.42873e-05
