ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	132.794	P	0.000296708
AFFX-BioB-M_at	286.848	P	4.42873e-05
AFFX-BioB-3_at	135.995	P	6.02111e-05
AFFX-BioC-5_at	164.464	P	0.000146581
AFFX-BioC-3_at	204.018	P	5.16732e-05
AFFX-BioDn-5_at	1182.67	P	4.42873e-05
AFFX-BioDn-3_at	2350.54	P	5.16732e-05
AFFX-CreX-5_at	5921.29	P	5.16732e-05
AFFX-CreX-3_at	7341.94	P	4.42873e-05
AFFX-DapX-5_at	128.021	P	7.00668e-05
AFFX-DapX-M_at	260.888	P	0.000753643
AFFX-DapX-3_at	342.218	P	9.4506e-05
AFFX-LysX-5_at	21.2016	P	0.000224668
AFFX-LysX-M_at	32.5721	P	0.036569
AFFX-LysX-3_at	47.8063	P	6.02111e-05
AFFX-PheX-5_at	30.9644	P	8.14279e-05
AFFX-PheX-M_at	46.4972	P	0.00227496
AFFX-PheX-3_at	37.934	P	0.00227496
AFFX-ThrX-5_at	37.4105	P	0.00110197
AFFX-ThrX-M_at	65.8769	P	0.000146581
AFFX-ThrX-3_at	84.706	P	5.16732e-05
AFFX-TrpnX-5_at	1.84394	A	0.910522
AFFX-TrpnX-M_at	0.753205	A	0.976071
AFFX-TrpnX-3_at	6.54563	A	0.313723
AFFX-r2-Ec-bioB-5_at	223.309	P	0.000244141
AFFX-r2-Ec-bioB-M_at	228.196	P	0.000244141
AFFX-r2-Ec-bioB-3_at	227.501	P	0.000244141
AFFX-r2-Ec-bioC-5_at	194.973	P	0.000244141
AFFX-r2-Ec-bioC-3_at	215.761	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2973.59	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3350.01	P	0.000244141
AFFX-r2-P1-cre-5_at	7225	P	0.000244141
AFFX-r2-P1-cre-3_at	9677.92	P	0.000244141
AFFX-r2-Bs-dap-5_at	190.526	P	0.000244141
AFFX-r2-Bs-dap-M_at	254.356	P	0.000244141
AFFX-r2-Bs-dap-3_at	375.931	P	0.000244141
AFFX-r2-Bs-lys-5_at	20.6136	P	0.000244141
AFFX-r2-Bs-lys-M_at	13.7176	P	0.0107422
AFFX-r2-Bs-lys-3_at	26.9931	P	0.0141602
AFFX-r2-Bs-phe-5_at	45.0609	P	0.000244141
AFFX-r2-Bs-phe-M_at	43.2676	P	0.000244141
AFFX-r2-Bs-phe-3_at	61.6469	P	0.00292969
AFFX-r2-Bs-thr-3_s_at	105.144	P	0.000732422
AFFX-r2-Bs-thr-M_s_at	121.268	P	0.000732422
AFFX-r2-Bs-thr-5_s_at	62.9757	P	0.00415039
AFFX-HUMISGF3A/M97935_5_at	133.364	P	0.00010954
AFFX-HUMISGF3A/M97935_MA_at	229.324	P	0.000258358
AFFX-HUMISGF3A/M97935_MB_at	180.671	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	576.089	P	8.14279e-05
AFFX-HUMRGE/M10098_5_at	198.966	P	7.00668e-05
AFFX-HUMRGE/M10098_M_at	82.9274	P	0.000224668
AFFX-HUMRGE/M10098_3_at	197.363	P	8.14279e-05
AFFX-HUMGAPDH/M33197_5_at	4412.71	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	4565.42	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	5433.82	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	8633.35	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	8737.69	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	10084.2	P	4.42873e-05
AFFX-M27830_5_at	256.957	P	7.00668e-05
AFFX-M27830_M_at	1229.91	P	0.0020226
AFFX-M27830_3_at	4.46846	A	0.712257
AFFX-hum_alu_at	12426.2	P	2.6068e-13
1007_s_at	61.6209	P	0.00754291
1053_at	97.1889	P	0.00564279
117_at	113.694	P	0.000218889
121_at	111.585	P	0.00998544
1255_g_at	4.39281	A	0.732537
1294_at	285.614	P	0.000388206
1316_at	13.4452	A	0.0738301
1320_at	1.25882	A	0.97214
1405_i_at	2749.54	P	0.00049077
1431_at	6.33293	A	0.0980541
1438_at	3.16798	A	0.64131
1487_at	89.6133	P	0.0439678
1494_f_at	25.5428	P	0.0439678
1598_g_at	63.7596	A	0.0738301
160020_at	62.1534	P	0.0193035
1729_at	258.005	P	0.000218889
1773_at	43.4148	P	0.0130918
177_at	13.1208	P	0.0192873
179_at	135.271	P	0.0278597
1861_at	66.811	P	0.00486276
200000_s_at	655.027	P	0.000244141
200001_at	1234.47	P	0.000244141
200002_at	5919.03	P	0.000244141
200003_s_at	11984.7	P	0.000244141
200004_at	3399.17	P	0.000244141
200005_at	1903.24	P	0.000244141
200006_at	2731.41	P	0.000244141
200007_at	1985.04	P	0.000244141
200008_s_at	1255.77	P	0.000244141
200009_at	2708.7	P	0.000244141
200010_at	8887.06	P	0.000244141
200011_s_at	785.714	P	0.000244141
200012_x_at	7750.09	P	0.000244141
200013_at	8360.48	P	0.000244141
200014_s_at	1034.28	P	0.000244141
200015_s_at	1447.66	P	0.000732422
200016_x_at	6668.52	P	0.000244141
200017_at	9774.97	P	0.000244141
200018_at	9350.43	P	0.000244141
200019_s_at	6611.26	P	0.000244141
200020_at	396.127	P	0.000244141
200021_at	6283.65	P	0.0012207
200022_at	8200.76	P	0.000244141
200023_s_at	2801.2	P	0.000244141
200024_at	6663.58	P	0.000732422
200025_s_at	7990.8	P	0.000244141
200026_at	9853.19	P	0.000244141
200027_at	1052.05	P	0.000244141
200028_s_at	636.855	P	0.000244141
200029_at	7769.63	P	0.000244141
200030_s_at	2176.27	P	0.000244141
200031_s_at	11320.6	P	0.000244141
200032_s_at	10851.4	P	0.000244141
200033_at	6191.93	P	0.000244141
200034_s_at	7411.83	P	0.000244141
200035_at	256.288	P	0.00585938
200036_s_at	5059.22	P	0.000244141
200037_s_at	1033.2	P	0.000244141
200038_s_at	8809.04	P	0.000244141
200039_s_at	599.838	P	0.000244141
200040_at	979.775	P	0.000244141
200041_s_at	1593.4	P	0.000244141
200042_at	315.081	P	0.000244141
200043_at	1397.93	P	0.000244141
200044_at	817.503	P	0.000244141
200045_at	227.084	P	0.000244141
200046_at	947.896	P	0.000244141
200047_s_at	1565.39	P	0.000244141
200048_s_at	1604.42	P	0.000244141
200049_at	179.863	P	0.000244141
200050_at	380.39	P	0.0012207
200051_at	169.645	P	0.000244141
200052_s_at	529.789	P	0.000244141
200053_at	443.88	P	0.000732422
200054_at	67.6317	P	0.0185547
200055_at	921.094	P	0.000244141
200056_s_at	242.98	P	0.000244141
200057_s_at	2215.4	P	0.000244141
200058_s_at	807.121	P	0.000244141
200059_s_at	4774.3	P	0.000244141
200060_s_at	894.452	P	0.000732422
200061_s_at	7957.96	P	0.000244141
200062_s_at	10563.4	P	0.000244141
200063_s_at	5109.34	P	0.000244141
200064_at	1797.78	P	0.000244141
200065_s_at	2721.49	P	0.000244141
200066_at	755.229	P	0.000244141
200067_x_at	1639.85	P	0.000244141
200068_s_at	1232.91	P	0.000244141
200069_at	175.374	P	0.000244141
200070_at	231.588	P	0.000244141
200071_at	411.625	P	0.000244141
200072_s_at	1057.29	P	0.000244141
200073_s_at	1407.9	P	0.000244141
200074_s_at	4929.97	P	0.000244141
200075_s_at	538.584	P	0.000244141
200076_s_at	242.925	P	0.000244141
200077_s_at	7437.03	P	0.000244141
200078_s_at	713.791	P	0.000244141
200079_s_at	765.018	P	0.000244141
200080_s_at	6823.48	P	0.000244141
200081_s_at	9680.19	P	0.000244141
200082_s_at	7268.19	P	0.000244141
200083_at	305.861	P	0.000244141
200084_at	1057.99	P	0.000244141
200085_s_at	913.081	P	0.000244141
200086_s_at	2282.11	P	0.000244141
200087_s_at	1190.63	P	0.000244141
200088_x_at	7601.7	P	0.000244141
200089_s_at	5751.19	P	0.000244141
200090_at	1249.25	P	0.000244141
200091_s_at	7370.25	P	0.000244141
200092_s_at	9242.51	P	0.000244141
200093_s_at	1534.06	P	0.000244141
200094_s_at	5620.86	P	0.000244141
200095_x_at	9351.94	P	0.000244141
200096_s_at	2601.05	P	0.000244141
200097_s_at	2007.36	P	0.000244141
