ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	173.451	P	0.000169227
AFFX-BioB-M_at	259.875	P	4.42873e-05
AFFX-BioB-3_at	144.065	P	9.4506e-05
AFFX-BioC-5_at	603.496	P	5.16732e-05
AFFX-BioC-3_at	727.423	P	4.42873e-05
AFFX-BioDn-5_at	1197.21	P	4.42873e-05
AFFX-BioDn-3_at	2470.62	P	6.02111e-05
AFFX-CreX-5_at	5757.44	P	5.16732e-05
AFFX-CreX-3_at	7440.76	P	4.42873e-05
AFFX-DapX-5_at	396.028	P	4.42873e-05
AFFX-DapX-M_at	752.98	P	0.000509415
AFFX-DapX-3_at	888.239	P	5.16732e-05
AFFX-LysX-5_at	50.8191	P	0.000445901
AFFX-LysX-M_at	67.6377	P	0.00359458
AFFX-LysX-3_at	118.285	P	7.00668e-05
AFFX-PheX-5_at	75.2421	P	7.00668e-05
AFFX-PheX-M_at	90.9559	P	6.02111e-05
AFFX-PheX-3_at	111.52	P	0.000224668
AFFX-ThrX-5_at	136.222	P	0.000146581
AFFX-ThrX-M_at	147.627	P	4.42873e-05
AFFX-ThrX-3_at	274.452	P	4.42873e-05
AFFX-TrpnX-5_at	23.2886	P	0.0336773
AFFX-TrpnX-M_at	1.63262	A	0.876428
AFFX-TrpnX-3_at	12.1655	A	0.195266
AFFX-r2-Ec-bioB-5_at	266.774	P	0.000244141
AFFX-r2-Ec-bioB-M_at	247.993	P	0.000244141
AFFX-r2-Ec-bioB-3_at	205.233	P	0.000244141
AFFX-r2-Ec-bioC-5_at	685.355	P	0.000244141
AFFX-r2-Ec-bioC-3_at	862.402	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2856.84	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3207.18	P	0.000244141
AFFX-r2-P1-cre-5_at	7583.54	P	0.000244141
AFFX-r2-P1-cre-3_at	10162.3	P	0.000244141
AFFX-r2-Bs-dap-5_at	543.436	P	0.000244141
AFFX-r2-Bs-dap-M_at	784.839	P	0.000244141
AFFX-r2-Bs-dap-3_at	950.763	P	0.000244141
AFFX-r2-Bs-lys-5_at	67.697	P	0.000244141
AFFX-r2-Bs-lys-M_at	73.8023	P	0.000244141
AFFX-r2-Bs-lys-3_at	56.3319	P	0.00415039
AFFX-r2-Bs-phe-5_at	165.912	P	0.000244141
AFFX-r2-Bs-phe-M_at	107.74	P	0.000244141
AFFX-r2-Bs-phe-3_at	162.056	P	0.000732422
AFFX-r2-Bs-thr-3_s_at	348.626	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	257.314	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	151.494	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	276.132	P	6.02111e-05
AFFX-HUMISGF3A/M97935_MA_at	508.128	P	7.00668e-05
AFFX-HUMISGF3A/M97935_MB_at	417.309	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	1058.57	P	4.42873e-05
AFFX-HUMRGE/M10098_5_at	195.266	P	4.42873e-05
AFFX-HUMRGE/M10098_M_at	154.114	P	0.000146581
AFFX-HUMRGE/M10098_3_at	130.276	P	0.000296708
AFFX-HUMGAPDH/M33197_5_at	6024.79	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	6462.01	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	7130.27	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	10579.6	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	11276.5	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	11820.7	P	4.42873e-05
AFFX-M27830_5_at	579.273	P	4.42873e-05
AFFX-M27830_M_at	1291.05	P	0.00179591
