ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	145.734	P	0.000662269
AFFX-BioB-M_at	250.861	P	4.42873e-05
AFFX-BioB-3_at	137.627	P	0.00010954
AFFX-BioC-5_at	516.767	P	5.16732e-05
AFFX-BioC-3_at	727.175	P	5.16732e-05
AFFX-BioDn-5_at	1143.88	P	4.42873e-05
AFFX-BioDn-3_at	2390.23	P	6.02111e-05
AFFX-CreX-5_at	6275.51	P	5.16732e-05
AFFX-CreX-3_at	7880.97	P	4.42873e-05
AFFX-DapX-5_at	330.231	P	5.16732e-05
AFFX-DapX-M_at	640.223	P	0.000445901
AFFX-DapX-3_at	716.985	P	5.16732e-05
AFFX-LysX-5_at	33.5405	P	0.000340305
AFFX-LysX-M_at	50.5853	P	0.00687065
AFFX-LysX-3_at	108.787	P	5.16732e-05
AFFX-PheX-5_at	67.351	P	6.02111e-05
AFFX-PheX-M_at	89.7712	P	8.14279e-05
AFFX-PheX-3_at	72.3322	P	4.42873e-05
AFFX-ThrX-5_at	97.493	P	9.4506e-05
AFFX-ThrX-M_at	145.465	P	4.42873e-05
AFFX-ThrX-3_at	223.05	P	4.42873e-05
AFFX-TrpnX-5_at	4.92656	A	0.48511
AFFX-TrpnX-M_at	0.821633	A	0.973889
AFFX-TrpnX-3_at	1.19271	A	0.834139
AFFX-r2-Ec-bioB-5_at	251.895	P	0.000244141
AFFX-r2-Ec-bioB-M_at	239.441	P	0.000244141
AFFX-r2-Ec-bioB-3_at	200.577	P	0.000244141
AFFX-r2-Ec-bioC-5_at	620.992	P	0.000244141
AFFX-r2-Ec-bioC-3_at	751.765	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2725.24	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3175.81	P	0.000244141
AFFX-r2-P1-cre-5_at	7575.74	P	0.000244141
AFFX-r2-P1-cre-3_at	10044.5	P	0.000244141
AFFX-r2-Bs-dap-5_at	446.509	P	0.000244141
AFFX-r2-Bs-dap-M_at	679.089	P	0.000244141
AFFX-r2-Bs-dap-3_at	867.832	P	0.000244141
AFFX-r2-Bs-lys-5_at	50.2108	P	0.000244141
AFFX-r2-Bs-lys-M_at	45.7185	P	0.000244141
AFFX-r2-Bs-lys-3_at	47.4409	P	0.00195313
AFFX-r2-Bs-phe-5_at	95.273	P	0.000244141
AFFX-r2-Bs-phe-M_at	104.575	P	0.000244141
AFFX-r2-Bs-phe-3_at	129.243	P	0.000732422
AFFX-r2-Bs-thr-3_s_at	264.167	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	220.566	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	151.438	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	256.545	P	0.000169227
AFFX-HUMISGF3A/M97935_MA_at	423.946	P	7.00668e-05
AFFX-HUMISGF3A/M97935_MB_at	379.33	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	1145.62	P	5.16732e-05
AFFX-HUMRGE/M10098_5_at	382.239	P	4.42873e-05
AFFX-HUMRGE/M10098_M_at	176.102	P	7.00668e-05
AFFX-HUMRGE/M10098_3_at	234.641	P	9.4506e-05
AFFX-HUMGAPDH/M33197_5_at	5036.75	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	4977.83	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	6440.51	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	10280.1	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	10864.8	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	12370.3	P	4.42873e-05
AFFX-M27830_5_at	944.754	P	4.42873e-05
AFFX-M27830_M_at	1392.86	P	0.00179591
AFFX-M27830_3_at	5.1574	A	0.749204
AFFX-hum_alu_at	13291.4	P	2.6068e-13
1007_s_at	84.4833	P	0.00564279
1053_at	93.8474	P	0.00564279
117_at	280.311	P	0.000218889
121_at	105.022	P	0.00998544
1255_g_at	12.4078	A	0.47938
1294_at	389.705	P	0.000218889
1316_at	31.2845	P	0.00189162
1320_at	2.17799	A	0.951005
1405_i_at	2996.52	P	0.00049077
1431_at	16.3856	P	0.0393654
1438_at	6.15486	A	0.64131
1487_at	194.326	P	0.0313357
1494_f_at	17.3665	A	0.0813367
1598_g_at	105.599	P	0.0489947
160020_at	59.0862	P	0.0351629
1729_at	632.716	P	0.000218889
1773_at	104.956	P	0.00189162
177_at	13.3019	A	0.234557
179_at	126.965	A	0.0980541
1861_at	82.9925	P	0.00358487
200000_s_at	966.382	P	0.000244141
200001_at	1483.14	P	0.000244141
200002_at	8381.56	P	0.000244141
200003_s_at	14049.6	P	0.000244141
200004_at	4811.05	P	0.000244141
200005_at	2529.68	P	0.000244141
200006_at	2802.14	P	0.000244141
200007_at	2799.94	P	0.000244141
200008_s_at	1392.38	P	0.000244141
200009_at	2787.91	P	0.000244141
200010_at	10117.5	P	0.000244141
200011_s_at	713.137	P	0.000244141
200012_x_at	9347.92	P	0.000244141
200013_at	9131.88	P	0.000244141
200014_s_at	1410.76	P	0.000244141
200015_s_at	1648.17	P	0.000732422
200016_x_at	8092.86	P	0.000244141
200017_at	12416	P	0.000244141
200018_at	11573	P	0.000244141
200019_s_at	9006.07	P	0.000244141
200020_at	833.672	P	0.000244141
200021_at	6652.32	P	0.0012207
200022_at	10728.5	P	0.000244141
200023_s_at	4196.09	P	0.000244141
200024_at	8538.26	P	0.000244141
200025_s_at	9803.95	P	0.000244141
200026_at	11287.9	P	0.000244141
200027_at	1438.28	P	0.000244141
200028_s_at	994.01	P	0.000244141
200029_at	10202	P	0.000244141
200030_s_at	2762.05	P	0.000244141
200031_s_at	14104.5	P	0.000244141
200032_s_at	12818.5	P	0.000244141
200033_at	7164.24	P	0.000244141
200034_s_at	9493.36	P	0.000244141
200035_at	437.304	P	0.00195313
