Node1,Node2,Weight
ACTG1,ACTL6B,0.914
ACTG1,CDH1,0.457
ACTG1,CTNNA1,0.953
ACTG1,ARID1A,0.841
ACTG1,ARID2,0.816
ACTG1,SMARCA4,0.884
ACTG1,AFDN,0.915
ACTG1,FLNA,0.729
ACTG1,AKT2,0.452
ACTG1,SMARCD1,0.873
ACTG1,PBRM1,0.854
ACTG1,RHOA,0.944
ACTG1,AKT1,0.573
ACTG1,MYC,0.486
ACTG1,ARID1B,0.849
ACTL6B,NTRK3,0.415
ACTL6B,RUNX1,0.505
ACTL6B,CBFB,0.517
ACTL6B,CCND1,0.568
ACTL6B,DNMT3A,0.617
ACTL6B,H3C12,0.668
ACTL6B,RB1,0.747
ACTL6B,PBRM1,0.958
ACTL6B,ARID1B,0.964
ACTL6B,ARID2,0.968
ACTL6B,ARID1A,0.978
ACTL6B,SMARCA4,0.98
ACTL6B,SMARCD1,0.99
ACVR1B,KRAS,0.401
ACVR1B,PDGFRA,0.495
ACVR1B,SMAD3,0.936
ACVR1B,SMAD4,0.957
ACVR1B,TGFBR2,0.74
ACVR1B,BRCA2,0.438
ACVR1B,ALK,0.932
ACVR1B,CTNNB1,0.467
AFDN,KRAS,0.945
AFDN,CDH1,0.867
AFDN,EGFR,0.625
AFDN,KIT,0.402
AFDN,GRIA2,0.41
AFDN,CTNNA1,0.984
AFDN,USP9X,0.736
AFDN,MEN1,0.652
AFDN,RHOA,0.509
AFDN,EPHA7,0.716
AFDN,CTNNB1,0.776
AFDN,KMT2A,0.865
AFDN,NRAS,0.975
AFDN,HRAS,0.998
AFF2,CBL,0.571
AFF2,ATRX,0.456
AFF2,KMT2A,0.564
AGTR2,H3C12,0.48
AKT1,XBP1,0.739
AKT1,AURKA,0.624
AKT1,CCND1,0.923
AKT1,CDKN1B,0.996
AKT1,MLH1,0.495
AKT1,MSH2,0.627
AKT1,FOXA1,0.683
AKT1,RARA,0.765
AKT1,KRAS,0.904
AKT1,NOTCH2,0.589
AKT1,PDGFRA,0.486
AKT1,APC,0.472
AKT1,MDM2,0.999
AKT1,CDH1,0.903
AKT1,PIK3C3,0.78
AKT1,KMT2C,0.403
AKT1,AXIN1,0.912
AKT1,CREBBP,0.854
AKT1,CCNE1,0.667
AKT1,EP300,0.954
AKT1,NOTCH3,0.57
AKT1,PIK3CA,0.998
AKT1,CBL,0.775
AKT1,DNMT3A,0.518
AKT1,CDK6,0.443
AKT1,PMS2,0.465
AKT1,DAXX,0.441
AKT1,ERBB3,0.854
AKT1,RB1,0.586
AKT1,NCOR1,0.633
AKT1,TP53,0.994
AKT1,ERBB2,0.552
AKT1,EGFR,0.792
AKT1,CDKN2B,0.58
AKT1,ATM,0.742
AKT1,KIT,0.818
AKT1,PREX2,0.444
AKT1,TSC1,0.985
AKT1,RUNX1,0.549
AKT1,KMT2D,0.544
AKT1,RPTOR,0.996
AKT1,MET,0.408
AKT1,ARID1A,0.591
AKT1,STK11,0.748
AKT1,DNMT3B,0.652
AKT1,TBK1,0.873
AKT1,GRIN2A,0.659
AKT1,SMAD3,0.996
AKT1,MEN1,0.681
AKT1,ZFP36L1,0.849
AKT1,FOXO3,0.998
AKT1,MYB,0.439
AKT1,SMAD4,0.914
AKT1,ERBB4,0.583
AKT1,ATR,0.423
AKT1,SMARCA4,0.497
AKT1,NF2,0.842
AKT1,GATA2,0.587
