ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	127.772	P	0.000224668
AFFX-BioB-M_at	199.215	P	4.42873e-05
AFFX-BioB-3_at	96.0172	P	5.16732e-05
AFFX-BioC-5_at	393.097	P	4.42873e-05
AFFX-BioC-3_at	448.152	P	4.42873e-05
AFFX-BioDn-5_at	1043.73	P	4.42873e-05
AFFX-BioDn-3_at	1887.55	P	4.42873e-05
AFFX-CreX-5_at	4566.91	P	5.16732e-05
AFFX-CreX-3_at	5715.28	P	4.42873e-05
AFFX-DapX-5_at	364.89	P	4.42873e-05
AFFX-DapX-M_at	654.517	P	8.14279e-05
AFFX-DapX-3_at	910.109	P	4.42873e-05
AFFX-LysX-5_at	39.8339	P	6.02111e-05
AFFX-LysX-M_at	66.2047	P	0.000662269
AFFX-LysX-3_at	123.875	P	5.16732e-05
AFFX-PheX-5_at	91.6406	P	4.42873e-05
AFFX-PheX-M_at	118.232	P	5.16732e-05
AFFX-PheX-3_at	122.207	P	6.02111e-05
AFFX-ThrX-5_at	87.0797	P	0.000146581
AFFX-ThrX-M_at	130.975	P	4.42873e-05
AFFX-ThrX-3_at	202.086	P	4.42873e-05
AFFX-TrpnX-5_at	2.93468	A	0.672935
AFFX-TrpnX-M_at	0.345874	A	0.945802
AFFX-TrpnX-3_at	1.5873	A	0.617401
AFFX-r2-Ec-bioB-5_at	184.713	P	0.000244141
AFFX-r2-Ec-bioB-M_at	196.099	P	0.000244141
AFFX-r2-Ec-bioB-3_at	178.574	P	0.000244141
AFFX-r2-Ec-bioC-5_at	481.491	P	0.000244141
AFFX-r2-Ec-bioC-3_at	527.263	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2537.41	P	0.000244141
AFFX-r2-Ec-bioD-3_at	2859.43	P	0.000244141
AFFX-r2-P1-cre-5_at	5736.81	P	0.000244141
AFFX-r2-P1-cre-3_at	7532.96	P	0.000244141
AFFX-r2-Bs-dap-5_at	515.806	P	0.000244141
AFFX-r2-Bs-dap-M_at	630.498	P	0.000244141
AFFX-r2-Bs-dap-3_at	799.928	P	0.000244141
AFFX-r2-Bs-lys-5_at	64.3628	P	0.000244141
AFFX-r2-Bs-lys-M_at	67.8583	P	0.000244141
