ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	173.987	P	0.000445901
AFFX-BioB-M_at	325.138	P	4.42873e-05
AFFX-BioB-3_at	179.98	P	5.16732e-05
AFFX-BioC-5_at	477.471	P	4.42873e-05
AFFX-BioC-3_at	505.116	P	4.42873e-05
AFFX-BioDn-5_at	1497.94	P	4.42873e-05
AFFX-BioDn-3_at	2523.86	P	5.16732e-05
AFFX-CreX-5_at	6641.43	P	5.16732e-05
AFFX-CreX-3_at	7872.48	P	4.42873e-05
AFFX-DapX-5_at	422.596	P	5.16732e-05
AFFX-DapX-M_at	844.87	P	0.000146581
AFFX-DapX-3_at	1059.73	P	5.16732e-05
AFFX-LysX-5_at	55.0558	P	4.42246e-05
AFFX-LysX-M_at	78.6754	P	0.000340305
AFFX-LysX-3_at	144.51	P	4.42873e-05
AFFX-PheX-5_at	97.4148	P	5.16732e-05
AFFX-PheX-M_at	111.281	P	4.42873e-05
AFFX-PheX-3_at	105.8	P	5.16732e-05
AFFX-ThrX-5_at	139.824	P	8.14279e-05
AFFX-ThrX-M_at	187.357	P	4.42873e-05
AFFX-ThrX-3_at	278.889	P	4.42873e-05
AFFX-TrpnX-5_at	13.4947	A	0.123572
AFFX-TrpnX-M_at	0.82687	A	0.973889
AFFX-TrpnX-3_at	0.608166	A	0.659339
AFFX-r2-Ec-bioB-5_at	319.033	P	0.000244141
AFFX-r2-Ec-bioB-M_at	290.827	P	0.000244141
AFFX-r2-Ec-bioB-3_at	279.404	P	0.000244141
AFFX-r2-Ec-bioC-5_at	529.119	P	0.000244141
AFFX-r2-Ec-bioC-3_at	594.289	P	0.000244141
AFFX-r2-Ec-bioD-5_at	3248.93	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3680.13	P	0.000244141
AFFX-r2-P1-cre-5_at	7784.62	P	0.000244141
AFFX-r2-P1-cre-3_at	10173.9	P	0.000244141
AFFX-r2-Bs-dap-5_at	726.94	P	0.000244141
AFFX-r2-Bs-dap-M_at	903.154	P	0.000244141
AFFX-r2-Bs-dap-3_at	1107.19	P	0.000244141
AFFX-r2-Bs-lys-5_at	74.7872	P	0.000244141
AFFX-r2-Bs-lys-M_at	72.2238	P	0.000244141
AFFX-r2-Bs-lys-3_at	66.3241	P	0.000244141
AFFX-r2-Bs-phe-5_at	155.722	P	0.000244141
AFFX-r2-Bs-phe-M_at	134.119	P	0.000244141
AFFX-r2-Bs-phe-3_at	151.307	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	358.344	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	271.643	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	199.216	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	646.386	P	4.42873e-05
AFFX-HUMISGF3A/M97935_MA_at	1037.43	P	4.42873e-05
AFFX-HUMISGF3A/M97935_MB_at	785.779	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	1745.56	P	4.42873e-05
AFFX-HUMRGE/M10098_5_at	237.725	P	4.42873e-05
AFFX-HUMRGE/M10098_M_at	105.634	P	9.4506e-05
AFFX-HUMRGE/M10098_3_at	133.116	P	0.000146581
AFFX-HUMGAPDH/M33197_5_at	5489.02	P	4.42873e-05
