ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	122.051	P	0.000445901
AFFX-BioB-M_at	260.655	P	4.42873e-05
AFFX-BioB-3_at	149.345	P	6.02111e-05
AFFX-BioC-5_at	308.37	P	6.02111e-05
AFFX-BioC-3_at	410.826	P	4.42873e-05
AFFX-BioDn-5_at	1094.79	P	4.42873e-05
AFFX-BioDn-3_at	1944.91	P	6.02111e-05
AFFX-CreX-5_at	5959.19	P	5.16732e-05
AFFX-CreX-3_at	6704.22	P	4.42873e-05
AFFX-DapX-5_at	335.098	P	5.16732e-05
AFFX-DapX-M_at	682.348	P	0.000126798
AFFX-DapX-3_at	803.013	P	5.16732e-05
AFFX-LysX-5_at	30.3802	P	0.000296708
AFFX-LysX-M_at	48.8524	P	0.00110197
AFFX-LysX-3_at	127.981	P	4.42873e-05
AFFX-PheX-5_at	66.0924	P	4.42873e-05
AFFX-PheX-M_at	72.3656	P	4.42873e-05
AFFX-PheX-3_at	54.4183	P	4.42873e-05
AFFX-ThrX-5_at	90.0023	P	7.00668e-05
AFFX-ThrX-M_at	128.596	P	4.42873e-05
AFFX-ThrX-3_at	218.848	P	4.42873e-05
AFFX-TrpnX-5_at	10.1115	A	0.216524
AFFX-TrpnX-M_at	0.718674	A	0.932322
AFFX-TrpnX-3_at	0.537779	A	0.957038
AFFX-r2-Ec-bioB-5_at	206.461	P	0.000244141
AFFX-r2-Ec-bioB-M_at	252.645	P	0.000244141
AFFX-r2-Ec-bioB-3_at	233.36	P	0.000244141
AFFX-r2-Ec-bioC-5_at	394.293	P	0.000244141
AFFX-r2-Ec-bioC-3_at	464.124	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2555.24	P	0.000244141
AFFX-r2-Ec-bioD-3_at	2922.29	P	0.000244141
AFFX-r2-P1-cre-5_at	6824.78	P	0.000244141
AFFX-r2-P1-cre-3_at	9483.94	P	0.000244141
AFFX-r2-Bs-dap-5_at	503.011	P	0.000244141
AFFX-r2-Bs-dap-M_at	710.887	P	0.000244141
AFFX-r2-Bs-dap-3_at	935.807	P	0.000244141
AFFX-r2-Bs-lys-5_at	55.2163	P	0.000244141
AFFX-r2-Bs-lys-M_at	58.7808	P	0.000244141
AFFX-r2-Bs-lys-3_at	72.635	P	0.000732422
AFFX-r2-Bs-phe-5_at	112.376	P	0.000244141
AFFX-r2-Bs-phe-M_at	102.137	P	0.000244141
AFFX-r2-Bs-phe-3_at	127.738	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	293.176	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	178.93	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	147.144	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	308.177	P	4.42873e-05
AFFX-HUMISGF3A/M97935_MA_at	770.305	P	4.42873e-05
AFFX-HUMISGF3A/M97935_MB_at	545.2	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	1431.03	P	6.02111e-05
AFFX-HUMRGE/M10098_5_at	278.707	P	4.42873e-05
AFFX-HUMRGE/M10098_M_at	158.366	P	0.00010954
AFFX-HUMRGE/M10098_3_at	122.982	P	0.000109401
AFFX-HUMGAPDH/M33197_5_at	2921.81	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	2665.3	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	3000.94	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	8376.03	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	8747.18	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	10383	P	4.42873e-05
AFFX-M27830_5_at	498.837	P	4.42873e-05
AFFX-M27830_M_at	412.729	P	0.00556451
AFFX-M27830_3_at	4.09345	A	0.749204
AFFX-hum_alu_at	11580.7	P	2.6068e-13
1007_s_at	26.9066	A	0.11716
1053_at	77.1396	P	0.00486276
117_at	1808.09	P	0.000218889
121_at	76.0102	A	0.0738301
1255_g_at	10.2346	A	0.621816
1294_at	170.152	P	0.000388206
1316_at	11.6804	P	0.0278597
1320_at	1.147	A	0.983
1405_i_at	100.086	P	0.00049077
1431_at	3.14888	A	0.438361
1438_at	5.35094	A	0.67917
1487_at	138.755	P	0.0149366
1494_f_at	22.1131	P	0.0393654
1598_g_at	42.9492	A	0.204022
160020_at	29.8191	P	0.0489947
1729_at	210.531	P	0.000804598
1773_at	51.352	P	0.00358487
177_at	21.9246	P	0.000218889
179_at	112.673	A	0.0738301
1861_at	67.6213	P	0.000959383
200000_s_at	320.456	P	0.000244141
200001_at	381.046	P	0.0012207
200002_at	760.31	P	0.000244141
200003_s_at	5403.4	P	0.000244141
200004_at	3203.32	P	0.000244141
200005_at	626.864	P	0.000244141
200006_at	732.732	P	0.000244141
200007_at	1636.67	P	0.000244141
