ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	134.787	P	9.4506e-05
AFFX-BioB-M_at	204.311	P	5.16732e-05
AFFX-BioB-3_at	107.131	P	5.16732e-05
AFFX-BioC-5_at	430.233	P	4.42873e-05
AFFX-BioC-3_at	493.977	P	4.42873e-05
AFFX-BioDn-5_at	1043.02	P	4.42873e-05
AFFX-BioDn-3_at	2082.81	P	4.42873e-05
AFFX-CreX-5_at	4778.64	P	4.42873e-05
AFFX-CreX-3_at	5932.56	P	4.42873e-05
AFFX-DapX-5_at	444.025	P	4.42873e-05
AFFX-DapX-M_at	839.684	P	8.14279e-05
AFFX-DapX-3_at	1067.73	P	4.42873e-05
AFFX-LysX-5_at	49.4443	P	5.16732e-05
AFFX-LysX-M_at	71.0393	P	9.4506e-05
AFFX-LysX-3_at	136.064	P	7.00668e-05
AFFX-PheX-5_at	95.9242	P	4.42873e-05
AFFX-PheX-M_at	137.852	P	5.16732e-05
AFFX-PheX-3_at	117.621	P	0.000126798
AFFX-ThrX-5_at	100.835	P	5.16732e-05
AFFX-ThrX-M_at	186.659	P	4.42873e-05
AFFX-ThrX-3_at	239.248	P	4.42873e-05
AFFX-TrpnX-5_at	7.60288	A	0.287743
AFFX-TrpnX-M_at	0.884139	A	0.891041
AFFX-TrpnX-3_at	0.785803	A	0.843268
AFFX-r2-Ec-bioB-5_at	223.572	P	0.000244141
AFFX-r2-Ec-bioB-M_at	159.233	P	0.000244141
AFFX-r2-Ec-bioB-3_at	193.915	P	0.000244141
AFFX-r2-Ec-bioC-5_at	537.699	P	0.000244141
AFFX-r2-Ec-bioC-3_at	564.233	P	0.000244141
AFFX-r2-Ec-bioD-5_at	2624.84	P	0.000244141
AFFX-r2-Ec-bioD-3_at	2956.34	P	0.000244141
AFFX-r2-P1-cre-5_at	5989.39	P	0.000244141
AFFX-r2-P1-cre-3_at	7826.65	P	0.000244141
AFFX-r2-Bs-dap-5_at	678.301	P	0.000244141
AFFX-r2-Bs-dap-M_at	899.504	P	0.000244141
AFFX-r2-Bs-dap-3_at	1239.57	P	0.000244141
AFFX-r2-Bs-lys-5_at	81.1827	P	0.000244141
AFFX-r2-Bs-lys-M_at	94.5264	P	0.000244141
AFFX-r2-Bs-lys-3_at	70.8962	P	0.000244141
AFFX-r2-Bs-phe-5_at	162.607	P	0.000244141
AFFX-r2-Bs-phe-M_at	153.38	P	0.000244141
AFFX-r2-Bs-phe-3_at	229.426	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	367.074	P	0.000244141
